合同编号,项目名称,客户名称,项目金额_万元,项目阶段,计划回款日期,里程碑进度_%,计划交付日期,数据来源
ZZSHF26030101,项目P0285,杭州朔图信息技术有限公司,12748,回款,2026-11-15,90,2026-07-30,模拟数据
HWSZF26010044WC,项目P0053,上海沛图网络科技有限公司,10379,验收,2026-12-20,80,2026-10-15,模拟数据
YYJFXAF24120001,项目P0703,广州沛图科技有限公司,9603,执行,2027-02-28,45,2026-12-31,模拟数据
1Y01062512550D,项目P0003,济南沛图科技有限公司,7710,回款,2026-10-31,85,2026-06-30,模拟数据
HWSZF25060049,项目P0019,上海沛图网络科技有限公司,6222,验收,2026-11-30,75,2026-09-30,模拟数据
LXSHF26060252,项目P0269,广州澜图数字技术有限公司,5773,执行,2027-01-31,40,2026-11-30,模拟数据
LXSHF26060020,项目P0272,广州澜图数字技术有限公司,5717,回款,2026-12-15,92,2026-08-31,模拟数据
LXSHF26020222,项目P0264,广州澜图数字技术有限公司,5357,验收,2026-12-31,70,2026-11-15,模拟数据
HWSZF26070023WC,项目P0805,上海沛图网络科技有限公司,4764,立项,2027-03-31,15,2027-01-31,模拟数据
LXSHF25070127,项目P0262,广州澜图数字技术有限公司,3847,回款,2026-10-15,88,2026-05-31,模拟数据
LXSHF25080229,项目P0259,广州澜图数字技术有限公司,3744,执行,2026-12-31,55,2026-10-31,模拟数据
HWSZF26010038WC,项目P0051,上海沛图网络科技有限公司,3696,执行,2026-12-15,55,2026-10-31,模拟数据
LXSHF24100017,项目P0798,广州澜图数字技术有限公司,3610,结束,2026-07-31,100,2026-04-30,模拟数据
ZZFZF26030121,项目P0148,长沙启图电子科技有限公司,3256,验收,2026-11-30,72,2026-09-15,模拟数据
HWSZF24090004,项目P0007,上海沛图网络科技有限公司,3042,回款,2026-10-31,90,2026-06-30,模拟数据
ZZSHF26010096,项目P0698,杭州朔图信息技术有限公司,2554,立项,2027-02-28,10,2026-12-31,模拟数据
1Y01032506450K,项目P0653,沈阳启图商贸有限公司,2467,执行,2027-01-15,35,2026-11-30,模拟数据
LXSHF25110022,项目P0268,广州澜图数字技术有限公司,2025,回款,2026-09-30,95,2026-05-31,模拟数据
LXSHF26010196,项目P0270,广州澜图数字技术有限公司,5305,验收,2026-12-20,68,2026-10-31,模拟数据
LXSHF25120062,项目P0263,广州澜图数字技术有限公司,2228,执行,2027-01-31,42,2026-11-30,模拟数据
HWSZF24090003,项目P0007,上海沛图网络科技有限公司,2263,回款,2026-09-30,88,2026-05-31,模拟数据
LXSHF26050166,项目P0265,广州澜图数字技术有限公司,2821,立项,2027-03-31,18,2027-01-31,模拟数据
LXSHF26060177,项目P0271,广州澜图数字技术有限公司,3689,执行,2026-12-31,48,2026-11-15,模拟数据
LXSHF25040062,项目P0267,广州澜图数字技术有限公司,3580,回款,2026-11-15,82,2026-08-31,模拟数据
LXSHF25010021,项目P0275,广州澜图数字技术有限公司,3531,验收,2026-12-10,74,2026-10-15,模拟数据
LXSHF25060109,项目P0261,广州澜图数字技术有限公司,2590,结束,2026-08-15,100,2026-06-30,模拟数据
HWSZF24090005,项目P0007,上海沛图网络科技有限公司,2218,验收,2026-11-30,76,2026-09-30,模拟数据
LXSHF26060019,项目P0273,广州澜图数字技术有限公司,5717,回款,2026-12-31,90,2026-09-30,模拟数据
LXSHF25040157,项目P0266,广州澜图数字技术有限公司,3637,执行,2027-01-31,52,2026-12-15,模拟数据
HWSZF24090007,项目P0008,上海沛图网络科技有限公司,1980,立项,2027-04-30,12,2027-02-28,模拟数据
